case_id,case_pool_status,validation_status,validation_tier,sampling_frame,selection_stratum,oversample_low_capacity,oversample_high_debt,province,city,prefecture_name,prefecture_name_chn,platform,company_name,unified_social_credit_code,gadm_gid,source_doc_ids,source_doc_count,source_doc_types,source_ids,source_coverage_score,formal_event_year,formal_event,formal_event_source_doc,continued_function,continued_function_source_doc,continued_function_evidence_score,exit_type,confidence,alternative_label,ambiguity_note,caveat,historical_capacity_bin,historical_capacity_label,elite_density_percentile,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm,debt_pressure_value,debt_pressure_year,debt_pressure_bin,debt_pressure_source,debt_pressure_status,land_finance_dependence_value,land_finance_dependence_year,land_finance_dependence_bin,land_finance_dependence_source,land_finance_dependence_status,llm_label,llm_confidence,llm_model,human_reviewer,validation_date,notes
expand_js_yixing_chengfa,human_validated,human_validated,gold_standard,pilot_expansion,additional_county_level_jiangsu_functional_transfer,0,0,Jiangsu,Yixing,,,宜兴市城市发展投资有限公司,宜兴市城市发展投资有限公司,,,doc_js_yx_chengfa_2026_mtn1_001;doc_js_yx_chengfa_2026_mtn1_002;doc_js_yx_chengfa_2026_mtn1_003;doc_js_yx_chengfa_2026_mtn1_004;doc_js_yx_chengfa_2026_mtn1_005;doc_js_yx_chengfa_2026_mtn1_006;doc_js_yx_chengfa_2026_mtn1_007,7,financial_report;issuance_plan;prospectus;legal_opinion;financial_statement,src_js_yx_chengfa_001,3,2015,"Prospectus and legal opinion state that the company does not undertake government financing functions, that new debt after January 1 2015 is not local government debt, and that the issuer has no land-reserve function, no current land-development or land-repurchase business, no BT, no project repurchase, no government-purchase-service project, and no government-project advance financing.",doc_js_yx_chengfa_2026_mtn1_003,"The issuer remains an important infrastructure-construction and asset-operation platform, but the current project channel is specified as entrusted construction, fiscal settlement, and management-fee compensation. The documents distinguish this model from BT, repurchase, government purchase service, land reserve, and advance financing for government projects, so the case is coded as functional transfer rather than substantive exit.",doc_js_yx_chengfa_2026_mtn1_004,,functional_transfer,medium,nominal_exit,"Large receivables from Yixing Finance Bureau and earlier infrastructure-related advances show continuing government-linked functions, so the case could be coded as nominal exit if later evidence weakens the fiscal-management interpretation.",No independent platform-list exit document or rating report has been collected. The label relies on prospectus and legal-opinion disclosures.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Jiangsu county-level functional-transfer case; useful as a high-capacity fiscal-management example.
expand_fj_fuzhou_guozi,human_validated,human_validated,gold_standard,pilot_expansion,additional_capital_operation_transformation,1,0,Fujian,Fuzhou,,,福州国有资本投资运营集团有限公司,福州国有资本投资运营集团有限公司,,,doc_fj_fz_guozi_2026_scp1_001;doc_fj_fz_guozi_2026_scp1_002;doc_fj_fz_guozi_2026_scp1_003;doc_fj_fz_guozi_2026_scp1_004;doc_fj_fz_guozi_2026_scp1_005;doc_fj_fz_guozi_2026_scp1_006;doc_fj_fz_guozi_2026_scp1_007;doc_fj_fz_guozi_2026_scp1_008,8,financial_report;rating_report;prospectus;financial_statement;legal_opinion;issuance_plan,src_fj_fz_guozi_001,4,2022,"Legal opinion reports that Fuzhou SASAC approved the company name change from Fuzhou State-Owned Assets Investment Development Group to Fuzhou State Capital Investment and Operation Group in January 2022 and changed its business scope from urban infrastructure, area development, utilities, strategic-industry development, and real estate to headquarters management, own-fund investment, venture investment, and consulting.",doc_fj_fz_guozi_2026_scp1_006,"The same legal issuer was converted from a development-oriented state-owned assets investment group into a state-capital investment and operation platform. Direct urban infrastructure and area-development language disappeared from the issuer business scope, while municipal infrastructure functions continued through equity stakes in Fuzhou Chengtou, Fuzhou Zuohai, and other city platforms and through the Mindu infrastructure fund. This is a transfer into portfolio and fund channels rather than substantive disappearance.",doc_fj_fz_guozi_2026_scp1_004;doc_fj_fz_guozi_2026_scp1_002,,functional_transfer,medium,substantive_exit,"If the coding rule focused only on the issuer direct business scope, the 2022 scope change could support substantive exit. The functional-transfer label rests on evidence that infrastructure and public investment remained inside the issuer institutional orbit through equity ownership and fund-based investment.","No independent platform-list exit document has been collected. The formal event is a 2022 SASAC-approved name, scope, and asset reorganization rather than an explicit financing-platform-list exit notice.",low,Low historical elite density,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Fuzhou state-capital-operation case; useful paired with the existing Fuzhou Chengtou case to show within-city differentiation across platforms.
expand_js_zhenjiang_industry,human_validated,human_validated,gold_standard,pilot_expansion,additional_restructuring_boundary_case,0,0,Jiangsu,Zhenjiang,,,镇江产业投资控股集团有限公司,镇江产业投资控股集团有限公司,,,doc_js_zhenjiang_industry_2026_cp3_001;doc_js_zhenjiang_industry_2026_cp3_002;doc_js_zhenjiang_industry_2026_cp3_003;doc_js_zhenjiang_industry_2026_cp3_004;doc_js_zhenjiang_industry_2026_cp3_005;doc_js_zhenjiang_industry_2026_cp3_006;doc_js_zhenjiang_industry_2026_cp3_007,7,financial_report;financial_statement;legal_opinion;prospectus;issuance_plan,src_js_zhenjiang_industry_001,3,2023,"Zhenjiang municipal government issued the 2023 notice establishing Zhenjiang Industrial Investment Holding Group through the reorganization of Zhenjiang Guotou Real Estate Development, the transfer of Zhenjiang State-Owned Investment Holding Group and a 55 percent stake in Zhenjiang Transportation Industry Group, and related asset stripping and injection.",doc_js_zhenjiang_industry_2026_cp3_003,"The 2023 restructuring created an industrial-investment holding group and contains formal government-financing-function stripping language. But the same group system continues to show traffic infrastructure construction, land整理, fiscal-payment arrangements, government-linked receivables, and repurchase-payment risk. The corporate label changed more clearly than the quasi-fiscal development function, so this is coded as nominal exit.",doc_js_zhenjiang_industry_2026_cp3_005,,nominal_exit,medium,functional_transfer,"The asset transfers to transportation, railway, automobile, and commercial-management entities support a partial functional-transfer interpretation. The final label remains nominal because the current evidence still places major land, traffic, fiscal-support, and government-repurchase functions inside the issuer or its consolidated group.",The original 2023 municipal reorganization notice has not been collected directly. The formal event and functional evidence rely on the 2026 prospectus and legal opinion.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Jiangsu boundary case; useful for distinguishing nominal exit from partial functional transfer.
expand_js_jiangning_guozi,human_validated,human_validated,gold_standard,pilot_expansion,additional_high_capacity_district_nominal_case,0,0,Jiangsu,Nanjing Jiangning,,,南京江宁国有资产经营集团有限公司,南京江宁国有资产经营集团有限公司,,,doc_js_jiangning_guozi_2026_mtn1_001;doc_js_jiangning_guozi_2026_mtn1_002;doc_js_jiangning_guozi_2026_mtn1_003;doc_js_jiangning_guozi_2026_mtn1_004;doc_js_jiangning_guozi_2026_mtn1_005;doc_js_jiangning_guozi_2026_mtn1_006;doc_js_jiangning_guozi_2026_mtn1_007;doc_js_jiangning_guozi_2026_mtn1_008;doc_js_jiangning_guozi_2026_mtn1_009,9,financial_report;issuance_plan;bookrunner_commitment;prospectus;financial_statement;legal_opinion,src_js_jiangning_guozi_001,4,2015,"Prospectus states that the company has stripped government financing functions and transformed into a self-operating market-oriented entity, and later repeats that new debt after January 1 2015 is not local government debt.",doc_js_jiangning_guozi_2026_mtn1_004,"Explicit formal exit language coexists with continuing infrastructure investment and financing pressure, engineering-construction dominance in revenue, entrusted construction through Jiangning Science Park, management-committee cost-plus payment, and government-linked receivables. The issuer remains Jiangning District main infrastructure and state-owned asset operation body, so the official category changed more than the underlying development function.",doc_js_jiangning_guozi_2026_mtn1_008,,nominal_exit,high,functional_transfer,A functional-transfer reading would become plausible if later evidence shows that fiscal authorities rather than the issuer assumed project financing risk after 2015. Current evidence still emphasizes issuer-side financing needs and receivables.,The original regulator or local government document recognizing the stripping of government financing functions has not been collected directly; the formal event is based on prospectus compliance language.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New high-confidence Jiangsu district nominal-exit case.
expand_js_changshu_invest,human_validated,human_validated,gold_standard,pilot_expansion,additional_county_functional_transfer_case,0,0,Jiangsu,Changshu,,,常熟市投资控股集团有限公司,常熟市投资控股集团有限公司,,,doc_js_changshu_invest_2026_mtn3_001;doc_js_changshu_invest_2026_mtn3_002,2,prospectus;legal_opinion,src_js_changshu_invest_001,3,2015,Prospectus states that the company has stripped government financing functions and transformed into a market-oriented entity that operates and bears risk independently; legal opinion also reports 2021 transfer of the issuer to Changshu State Capital Investment and Operation Group and a 2025 name change to Changshu Investment Holding Group.,doc_js_changshu_invest_2026_mtn3_001,"The issuer keeps public and policy-linked functions including affordable housing, grain procurement, market operations, investment activity, fiscal subsidies, and government-linked receivables. But the documents explicitly exclude land development, land reserve financing, PPP, government investment funds, BT, project repurchase, government purchase service, government-project advance financing, and debts requiring fiscal repayment. This pattern fits functional transfer through policy business and state-capital channels rather than substantive exit or pure nominal exit.",doc_js_changshu_invest_2026_mtn3_002,,functional_transfer,medium,nominal_exit,"A nominal-exit reading remains plausible because government-linked receivables, fiscal subsidies, and affordable housing functions continue. The functional-transfer label rests on the unusually explicit negative list and state-capital ownership shift.",Only the prospectus and legal opinion were locally extracted in this pass. A rating report or local government document should be collected before raising confidence.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Jiangsu county-level functional-transfer case; useful counterweight to high-confidence nominal cases.
sch_20260630_0151,human_validated,human_validated,gold_standard,pilot_expansion,middle_capacity_northern_transport_platform,0,0,Hebei,Shijiazhuang,Shijiazhuang,石家庄市,石家庄市交通投资开发有限公司,石家庄市交通投资开发有限公司,,CHN.10.8_1,doc_sch_20260630_0151_001;doc_sch_20260630_0151_002;doc_sch_20260630_0151_003;doc_sch_20260630_0151_004;doc_sch_20260630_0151_005;doc_sch_20260630_0151_006;doc_sch_20260630_0151_007,7,prospectus;issuance_disclosure_document;legal_opinion;issuance_plan,src_sch_20260630_0151,4,2015,"The 2026 prospectus states that the issuer does not undertake government financing functions, that new debt after January 1 2015 is not local-government debt, and that the Shijiazhuang Finance Bureau was consulted on the absence of new government or hidden debt.",doc_sch_20260630_0151_001,"Official no-government-financing and no-hidden-debt language coexists with continuing evidence that the same issuer and its subsidiaries plan build finance and operate major Shijiazhuang expressway assets through PPP BOT concession debt toll-right pledges government subsidies project-capital support and state-asset injections. The formal institutional statement is clean, but the infrastructure finance function remains inside the municipal transport platform system.",doc_sch_20260630_0151_001;doc_sch_20260630_0151_006,,nominal_exit,medium,substantive_exit,"The issuer denies land development entrusted construction BT government purchase and advance-financing functions, and the evidence shows a regulated transportation-project model rather than a broad city-investment platform. The nominal-exit label therefore rests on the continued municipal public-infrastructure financing function rather than on land-development or shantytown-redevelopment functions.",The formal event is inferred from post-2015 compliance and finance-bureau consultation language in an issuer prospectus rather than from an independently collected government exit-list notice.,middle,Middle historical elite density,0.545,25.05,17.65,13.31,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-07-01,Validated on 2026-07-01 from the surrogate review queue; use as a middle historical-capacity northern transport-platform nominal-exit case.
sch_20260630_0052,human_validated,human_validated,gold_standard,pilot_expansion,surrogate_validation_high_capacity_transport_case,0,0,Jiangsu,Nanjing,Nanjing,南京市,南京市交通建设投资控股(集团)有限责任公司,南京市交通建设投资控股(集团)有限责任公司,,CHN.15.4_1,doc_sch_20260630_0052_001;doc_sch_20260630_0052_002;doc_sch_20260630_0052_003;doc_sch_20260630_0052_004;doc_sch_20260630_0052_005;doc_sch_20260630_0052_006;doc_sch_20260630_0052_007;doc_sch_20260630_0052_008;doc_sch_20260630_0052_009,9,issuance_disclosure_document;issuance_plan;financial_statement;prospectus;legal_opinion,src_sch_20260630_0052,4,2015,"Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions, that new debt after January 1 2015 is not local-government debt, and that the local state acts only as shareholder with limited liability.",doc_sch_20260630_0052_007,Formal no-government-financing and no-local-government-debt language coexists with continuing evidence that the same Nanjing SASAC-controlled transport group remains the city's main road bridge expressway railway-supporting and transport-project investment construction operation and financing platform. The source packet records municipal capital injections SASAC transfers toll-right pledges government-related receivables fiscal subsidies public-institution counterparties and transport-infrastructure debt pressure. Official compliance therefore does not amount to functional disappearance of the public infrastructure finance role.,doc_sch_20260630_0052_001;doc_sch_20260630_0052_008,,nominal_exit,medium,substantive_exit,A substantive-exit reading is possible if one treats the compliance disclosures and legal opinion as sufficient evidence that later borrowing is legally separated from local-government debt. The final label remains nominal because the same issuer group continues to house the city transport-infrastructure investment construction and financing function.,This is a specialized municipal transportation infrastructure group rather than a generic urban construction platform. The formal event is based on prospectus and legal-opinion compliance language rather than an independently collected administrative exit-list notice.,high,High historical elite density,0.844,101.55,67.85,52.82,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-07-02,Promoted from surrogate validation queue svq_001; high historical-capacity Nanjing transport-platform nominal-exit case.
expand_ah_suzhou_chengtou,human_validated,human_validated,gold_standard,label_file_only,,,,Anhui,Suzhou,,,宿州市城市建设投资集团(控股)有限公司,宿州市城市建设投资集团(控股)有限公司,,,doc_ah_suzhou_chengtou_2026_mtn3_001;doc_ah_suzhou_chengtou_2026_mtn3_002;doc_ah_suzhou_chengtou_2026_mtn3_003;doc_ah_suzhou_chengtou_2026_mtn3_004;doc_ah_suzhou_chengtou_2026_mtn3_005;doc_ah_suzhou_chengtou_2026_mtn3_006;doc_ah_suzhou_chengtou_2026_mtn3_007;doc_ah_suzhou_chengtou_2026_mtn3_008,8,commitment_letter;financial_statement;legal_opinion;prospectus;issuance_plan,src_ah_suzhou_chengtou_001,4,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; a separate compliance section says the issuer rectified and standardized the stripping of government financing functions and does not undertake land-reserve functions.,doc_ah_suzhou_chengtou_2026_mtn3_005,"Formal debt-compliance language coexists with continuing infrastructure construction, land-leveling, affordable-housing, entrusted-construction, fiscal-settlement, government-subsidy, and future public-development functions inside the same issuer. The documents do not show a clean relocation of these functions, so the institutional change is coded as nominal exit.",doc_ah_suzhou_chengtou_2026_mtn3_002;doc_ah_suzhou_chengtou_2026_mtn3_007,,nominal_exit,medium,functional_transfer,A functional-transfer reading would become plausible if later evidence shows that post-2015 project financing risk was absorbed by the fiscal budget or by another platform. Current disclosures still center the same issuer in infrastructure and land-related development functions.,The current packet relies on issuer disclosures and audit reports from the 2026 issuance page rather than an independently collected local-government exit-list document.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Anhui validated case from the June 30 Shanghai Clearing candidate harvest; useful as a high-priority nominal-exit example in an inland prefecture.
expand_hb_huangshi_chengfa,human_validated,human_validated,gold_standard,label_file_only,,,,Hubei,Huangshi,,,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司,,,doc_hb_huangshi_chengfa_2026_cp8_001;doc_hb_huangshi_chengfa_2026_cp8_002;doc_hb_huangshi_chengfa_2026_cp8_003;doc_hb_huangshi_chengfa_2026_cp8_004;doc_hb_huangshi_chengfa_2026_cp8_005;doc_hb_huangshi_chengfa_2026_cp8_006;doc_hb_huangshi_chengfa_2026_cp8_007;doc_hb_huangshi_chengfa_2026_cp8_008;doc_hb_huangshi_chengfa_2026_cp8_009,9,prospectus;financial_statement;issuance_plan;issuance_disclosure_document;legal_opinion,src_hb_huangshi_chengfa_001,3,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; the same issue also states that proceeds will not increase government or hidden debt and will not be directly repaid by fiscal funds.,doc_hb_huangshi_chengfa_2026_cp8_001,"Formal debt-compliance language coexists with continuing infrastructure investment, land development and整理, entrusted construction, public-housing and PPP/BOT activity, large government fiscal inflows, and payables to finance bureaus. The disclosed functions remain inside the issuer group, so this is coded as nominal exit rather than substantive exit or a clear functional transfer.",doc_hb_huangshi_chengfa_2026_cp8_003;doc_hb_huangshi_chengfa_2026_cp8_005;doc_hb_huangshi_chengfa_2026_cp8_008,,nominal_exit,medium,functional_transfer,A functional-transfer reading would become stronger if later sources show that fiscal authorities or another platform absorbed project-financing risk outside the issuer group. The current prospectus instead emphasizes continuing issuer-side public development functions.,The legal opinion and several audit reports in this packet were not machine-readable in the current extraction pass; the label relies mainly on the prospectus and issuance-plan files.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Hubei validated case from the June 30 Shanghai Clearing candidate harvest; useful as a central-prefecture nominal-exit case with explicit fiscal-dependence evidence.
expand_js_yancheng_chengnan,human_validated,human_validated,gold_standard,label_file_only,,,,Jiangsu,Yancheng,,,盐城市城南新区开发建设投资有限公司,盐城市城南新区开发建设投资有限公司,,,doc_js_yancheng_chengnan_2026_mtn2_001;doc_js_yancheng_chengnan_2026_mtn2_002;doc_js_yancheng_chengnan_2026_mtn2_003;doc_js_yancheng_chengnan_2026_mtn2_004;doc_js_yancheng_chengnan_2026_mtn2_005;doc_js_yancheng_chengnan_2026_mtn2_006;doc_js_yancheng_chengnan_2026_mtn2_007,7,issuance_plan;prospectus;financial_statement;legal_opinion;issuance_disclosure_document,src_js_yancheng_chengnan_001,4,2015,Legal opinion states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; it also states that proceeds will not increase government or hidden debt and will not be directly repaid by fiscal funds.,doc_js_yancheng_chengnan_2026_mtn2_003,"The legal opinion provides strong compliance language and a negative list, but the source packet also shows continuing land development, infrastructure construction, government entrusted construction, fiscal project settlement, and infrastructure repayment cycles. Since these functions remain inside the issuer, the case is coded as nominal exit.",doc_js_yancheng_chengnan_2026_mtn2_005;doc_js_yancheng_chengnan_2026_mtn2_007,,nominal_exit,medium,functional_transfer,A functional-transfer reading would become plausible if later evidence shows that legal compliance corresponded to a real relocation of project-financing risk outside the issuer. Current evidence instead shows formal normalization around continuing platform-like operations.,The formal event is supported by legal opinion and prospectus disclosures rather than an independently collected local-government exit-list document.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Yancheng same-city expansion case; useful for comparing district-level development platforms with the existing Yancheng City Asset case.
expand_js_suzhou_xiangcheng,human_validated,human_validated,gold_standard,label_file_only,,,,Jiangsu,Suzhou Xiangcheng,,,苏州市相城城市建设投资(集团)有限公司,苏州市相城城市建设投资(集团)有限公司,,,doc_js_suzhou_xiangcheng_2026_scp3_001;doc_js_suzhou_xiangcheng_2026_scp3_002;doc_js_suzhou_xiangcheng_2026_scp3_003;doc_js_suzhou_xiangcheng_2026_scp3_004;doc_js_suzhou_xiangcheng_2026_scp3_005;doc_js_suzhou_xiangcheng_2026_scp3_006;doc_js_suzhou_xiangcheng_2026_scp3_007;doc_js_suzhou_xiangcheng_2026_scp3_008;doc_js_suzhou_xiangcheng_2026_scp3_009,9,issuance_disclosure_document;financial_statement;issuance_plan;legal_opinion;prospectus,src_js_suzhou_xiangcheng_001,4,2015,Prospectus states that the government financing function has been orderly stripped and that identified government debt will be replaced through local government bonds; legal opinion and prospectus also state that the issue will not increase government or hidden debt and will not be directly repaid by fiscal funds.,doc_js_suzhou_xiangcheng_2026_scp3_008,"Formal government-financing-function stripping and negative-list language coexist with continuing infrastructure construction, resettlement-housing entrusted construction, fiscal repayment, government-linked receivables, and the issuer's role as Xiangcheng District's major project investment and construction body. The same issuer continues core public-development functions, so the official exit is coded as nominal exit.",doc_js_suzhou_xiangcheng_2026_scp3_004,,nominal_exit,medium,functional_transfer,"A functional-transfer or formal-fiscal-substitution reading is plausible because the documents describe commissioned construction as contractual and fiscally budgeted, and exclude PPP, BT, government purchase service, land reserve, and project repurchase. The final label remains nominal because project financing and repayment still run through the same issuer and its government-linked receivables.",The packet relies on issuer and legal-opinion disclosures from a 2026 issuance page rather than an independent platform-list exit document.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Suzhou district validated case; useful high-capacity nominal-exit comparison to Suzhou city-level and Ningbo/Guangzhou cases.
expand_sd_linyi_chengtou,human_validated,human_validated,gold_standard,label_file_only,,,,Shandong,Linyi,,,临沂城市建设投资集团有限公司,临沂城市建设投资集团有限公司,,,doc_sd_linyi_chengtou_2026_cp2_001;doc_sd_linyi_chengtou_2026_cp2_002;doc_sd_linyi_chengtou_2026_cp2_003;doc_sd_linyi_chengtou_2026_cp2_004;doc_sd_linyi_chengtou_2026_cp2_005;doc_sd_linyi_chengtou_2026_cp2_006;doc_sd_linyi_chengtou_2026_cp2_007;doc_sd_linyi_chengtou_2026_cp2_008;doc_sd_linyi_chengtou_2026_cp2_009,9,issuance_disclosure_document;issuance_plan;prospectus;legal_opinion;financial_statement,src_sd_linyi_chengtou_001,4,2015,Prospectus states that the government gradually stripped the issuer's government financing function and that debts requiring government responsibility were replaced or arranged; the issue also states that it will not increase government or hidden debt and will not be directly repaid by fiscal funds.,doc_sd_linyi_chengtou_2026_cp2_004,"Formal government-financing-function stripping and no-hidden-debt language coexist with continuing urban-rural development, infrastructure construction, affordable-housing or shantytown-related functions, government receivables, fiscal subsidy accounting, and public-resource state-asset operation. The same issuer remains central to the public-development system, so the exit is coded as nominal exit.",doc_sd_linyi_chengtou_2026_cp2_005;doc_sd_linyi_chengtou_2026_cp2_006,,nominal_exit,medium,functional_transfer,A functional-transfer reading is plausible because several receivables are described as contractual and the issue itself is legally separated from government debt. The final label remains nominal because the same issuer continues core public-development functions and remains linked to government settlement and subsidy channels.,"Several audit documents in the packet were not machine-readable; the label relies on the prospectus, legal opinion, and the readable 2025 audit report.",,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Shandong prefecture-level nominal-exit case; useful for expanding the inland/coastal comparison outside Jiangsu and Zhejiang.
expand_jx_jian_chengtou,human_validated,human_validated,gold_standard,label_file_only,,,,Jiangxi,Ji'an,,,吉安市城市建设投资开发有限公司,吉安市城市建设投资开发有限公司,,,doc_jx_jian_chengtou_2026_cp1_001;doc_jx_jian_chengtou_2026_cp1_002;doc_jx_jian_chengtou_2026_cp1_003;doc_jx_jian_chengtou_2026_cp1_004;doc_jx_jian_chengtou_2026_cp1_005;doc_jx_jian_chengtou_2026_cp1_006;doc_jx_jian_chengtou_2026_cp1_007;doc_jx_jian_chengtou_2026_cp1_008,8,issuance_disclosure_document;legal_opinion;rating_report;issuance_plan;prospectus;financial_statement,src_jx_jian_chengtou_001,4,2015,Legal opinion states that the Ji'an government has stripped the issuer's government financing functions and that the issuer does not borrow for local government or other entities; issue proceeds will not increase government or hidden debt and will not be directly repaid by fiscal funds.,doc_jx_jian_chengtou_2026_cp1_002,"The formal stripping of government financing functions coexists with land consolidation, infrastructure construction, affordable housing, entrusted construction, finance-bureau receivables, fiscal settlement, and government subsidies. These functions remain attached to the same issuer rather than disappearing institutionally, so the case is coded as nominal exit.",doc_jx_jian_chengtou_2026_cp1_005;doc_jx_jian_chengtou_2026_cp1_003,,nominal_exit,medium,functional_transfer,"A functional-transfer reading would emphasize fiscal settlement and contractual entrusted construction. The final label remains nominal because land-consolidation and infrastructure functions, including financing costs and finance-bureau receivables, remain tied to the same issuer.","No independent platform-list exit document has been collected; formal status is supported by the legal opinion, prospectus, and rating disclosures.",,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Jiangxi inland nominal-exit case; useful for low- and middle-capacity comparison with stronger coastal cases.
expand_hen_luoyang_chengxiang,human_validated,human_validated,gold_standard,label_file_only,,,,Henan,Luoyang,,,洛阳城乡建设投资集团有限公司,洛阳城乡建设投资集团有限公司,,,doc_hen_luoyang_chengxiang_2026_cp2_001;doc_hen_luoyang_chengxiang_2026_cp2_002;doc_hen_luoyang_chengxiang_2026_cp2_003;doc_hen_luoyang_chengxiang_2026_cp2_004;doc_hen_luoyang_chengxiang_2026_cp2_005;doc_hen_luoyang_chengxiang_2026_cp2_006;doc_hen_luoyang_chengxiang_2026_cp2_007;doc_hen_luoyang_chengxiang_2026_cp2_008;doc_hen_luoyang_chengxiang_2026_cp2_009;doc_hen_luoyang_chengxiang_2026_cp2_010;doc_hen_luoyang_chengxiang_2026_cp2_011;doc_hen_luoyang_chengxiang_2026_cp2_012,12,issuance_plan;financial_statement;commitment_letter;legal_opinion;prospectus,src_hen_luoyang_chengxiang_001,4,2015,"Prospectus states that the issuer has stripped government financing functions, has transformed into a self-operating and self-risk-bearing marketized entity, and does not undertake government financing functions after January 1 2015; issue proceeds will not increase government or hidden debt.",doc_hen_luoyang_chengxiang_2026_cp2_010,"Formal marketization and government-financing-function stripping coexist with continuing municipal infrastructure, municipal public project, affordable-housing, land-consolidation, and government-related receivable evidence. The same issuer continues core public-development functions under compliant language, so the case is coded as nominal exit.",doc_hen_luoyang_chengxiang_2026_cp2_007,,nominal_exit,medium,functional_transfer,"A functional-transfer reading is plausible because formal land reserve, direct fiscal repayment, and hidden-debt channels are denied. The final label remains nominal because land consolidation, public project construction, and municipal infrastructure functions remain inside the same issuer.",The strongest formal-exit language comes from prospectus and legal-opinion disclosures rather than a directly collected local government platform-list document.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Henan nominal-exit case; useful for expanding the inland validated sample.
expand_js_zhangjiagang_chengtou,human_validated,human_validated,gold_standard,label_file_only,,,,Jiangsu,Zhangjiagang,,,张家港市城市投资发展集团有限公司,张家港市城市投资发展集团有限公司,,,doc_js_zhangjiagang_chengtou_2026_scp2_001;doc_js_zhangjiagang_chengtou_2026_scp2_002;doc_js_zhangjiagang_chengtou_2026_scp2_003;doc_js_zhangjiagang_chengtou_2026_scp2_004;doc_js_zhangjiagang_chengtou_2026_scp2_005;doc_js_zhangjiagang_chengtou_2026_scp2_006;doc_js_zhangjiagang_chengtou_2026_scp2_007;doc_js_zhangjiagang_chengtou_2026_scp2_008;doc_js_zhangjiagang_chengtou_2026_scp2_009,9,financial_statement;issuance_plan;legal_opinion;prospectus,src_js_zhangjiagang_chengtou_001,4,2018,Legal opinion states that the issuer and subsidiaries were not included in the 2018 CBIRC financing-platform list and that the current issue will not increase government or hidden debt or be directly repaid with fiscal funds.,doc_js_zhangjiagang_chengtou_2026_scp2_005,"Formal non-platform and no-hidden-debt language coexists with continuing land preparation, resettlement housing, infrastructure construction, land-reserve-center settlement, fiscal or government-linked receivables, and government support inside the same issuer. The institutional category changed more than the public-development function.",doc_js_zhangjiagang_chengtou_2026_scp2_004,,nominal_exit,medium,functional_transfer,"Some activities are framed as contractual project settlement rather than illegal platform borrowing, so a formal-fiscal-substitution reading is plausible. The final label remains nominal because the same issuer continues core platform-like development functions.",The packet relies on 2026 issuance and legal-opinion disclosures rather than a directly collected local government exit-list announcement. Two scanned documents were not machine-readable in this pass.,,,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Zhangjiagang validated case from the June 30 Shanghai Clearing expansion; useful as a high-capacity county-level nominal-exit case.
